,Model,Group,Accuracy,Precision,Recall,F1 score,AUC
0,SVM,train,0.7619477006311993,0.5181347150259067,0.7194244604316546,0.7730352879570129,0.8213910219598087
1,SVM,test,0.6986685353889278,0.4336448598130841,0.6462395543175488,0.714800630325829,0.7512075782708939
2,LightGBM,train,0.7892996693718064,0.5569837189374465,0.7793764988009593,0.7992921389216355,0.871587928213386
3,LightGBM,test,0.7238962859145059,0.46406570841889117,0.6295264623955432,0.7359834461442196,0.7694125379487341
4,XGB,train,0.831980763450556,0.8329297820823245,0.41247002398081534,0.8101594134702124,0.881231476912333
5,XGB,test,0.7890679747722494,0.6629213483146067,0.3286908077994429,0.7617586611780973,0.7685883592584478
6,CART,train,1.0,1.0,1.0,1.0,1.0
7,CART,test,0.6853538892782061,0.37142857142857144,0.362116991643454,0.6840169373563723,0.578062241140079
8,RF,train,0.8133453561767358,0.605759682224429,0.7314148681055156,0.8187608000824259,0.8747904203712843
9,RF,test,0.7505255781359496,0.5035799522673031,0.5877437325905293,0.7565402927513769,0.7696629213483146
10,GBDT,train,0.8352870453862339,0.8372641509433962,0.42565947242206237,0.8147035312084304,0.8804708339225131
11,GBDT,test,0.7820602662929222,0.6411764705882353,0.30362116991643456,0.7519859386028332,0.7633329160276674
12,LR,train,0.7646528403967539,0.5224669603524229,0.7110311750599521,0.775081294050056,0.8235385217698286
13,LR,test,0.7014716187806588,0.4376163873370577,0.6545961002785515,0.7175550776308486,0.7517031287492306
